feature,weight,threshold
Close,0.0,0.0
Volume,0.7878693119635254,0.8834417047504162
SMA_20,0.16084730932698063,0.7430511403870443
SMA_50,0.27090942208595314,0.956846953021238
SMA_200,0.2921814086390458,0.08276611498445606
RSI,1.0,0.4930183111253408
MACD,0.9596642833291718,0.6897731097492026
Signal,0.852132552751772,0.6343457485444157
BB_Upper,0.2926314194583817,0.19977565166005762
BB_Lower,0.3036677239067322,0.7122968462628704
Daily_Return,0.6107566564685036,0.3016281251292776
Volume_Change,0.26287133215978264,0.06815113035986158
