feature,weight,threshold
Close,0.43576416780405847,0.6
Volume,0.9385758030537158,0.6
SMA_20,0.7834688552437988,0.6
SMA_50,1.0,0.6
SMA_200,0.07856659272821288,0.3462679811672672
RSI,0.6025733267245172,0.6
MACD,0.24522961971091675,0.49287353441486315
Signal,0.45266429945372905,0.28480493707307264
BB_Upper,0.047539613729121494,0.6
BB_Lower,0.24595995275010984,0.004565161796761428
Daily_Return,0.771440012120314,0.36673321500776124
Volume_Change,0.35096133723050094,0.05488093995518353
ATR,0.6426676859395024,0.4678497171881002
OBV,0.5255253763690745,0.1630848293283925
VWAP,0.08429595397408048,0.5907685544263225
Williams_R,0.8476008924953323,0.5483176323353246
Stoch_K,0.43151112575491346,0.6
