feature,weight,threshold
Close,0.5436762862511996,0.41014457002230026
Volume,1.0,0.6
SMA_20,0.842887248215553,0.5038017416124585
SMA_50,0.5419770965897847,0.4921808063963634
SMA_200,0.10076152112137304,0.6
RSI,0.6452823877152901,0.13583400679695148
MACD,0.6057415056419692,0.38790205989442095
Signal,1.0,0.14568619096835475
BB_Upper,0.6241411432412449,0.5118676273871998
BB_Lower,0.5271030554884091,0.6
Daily_Return,0.07712914179863473,0.47866693468435845
Volume_Change,0.45063328718367024,0.2804790557638554
ATR,0.21549514181270046,0.5977608991863348
OBV,0.4143048947463263,0.5148081968184657
VWAP,0.18674744436355872,0.3298166377822526
Williams_R,0.13962415721174304,0.0
Stoch_K,0.0,0.3588186451263095
