generation,best_fitness,avg_fitness,mutation_rate
0,0.3192182666796356,0.26918149184264734,0.15
1,0.33570859344928095,0.29707329760154294,0.1425
2,0.33570859344928095,0.30187761929644,0.135375
3,0.3876192264731015,0.31101901855772324,0.12860624999999998
4,0.49355830034450743,0.3144179115953233,0.12217593749999997
5,0.4957942866535914,0.3133795567203204,0.11606714062499997
6,0.4957942866535914,0.3298662441226609,0.11026378359374997
7,0.5094979336382898,0.3484288726289823,0.10475059441406247
8,0.5094979336382898,0.3643514418594894,0.09951306469335934
9,0.5094979336382898,0.3894675860827949,0.09453741145869136
10,0.5094979336382898,0.4036933905938101,0.0898105408857568
11,0.5117029038728707,0.3964690803014379,0.08532001384146895
12,0.5117628697503844,0.42083530506082906,0.0810540131493955
13,0.5135875623218333,0.4361812824312682,0.07700131249192572
14,0.5135875623218333,0.4280428267787147,0.07315124686732943
15,0.5135875623218333,0.4469424735306192,0.06949368452396296
16,0.5148441994824423,0.45150706830763015,0.06601900029776481
17,0.5148441994824423,0.4634360722607114,0.06271805028287657
18,0.5169773398796724,0.46135194422867054,0.05958214776873273
19,0.5174831638711119,0.4573157408952475,0.056603040380296094
20,0.5175339908425753,0.4594032445789643,0.05377288836128129
21,0.5185722877064806,0.4623364368925847,0.05108424394321722
22,0.5188998585526303,0.4699603397930989,0.04853003174605636
23,0.5191129000902261,0.45199017341946485,0.046103530158753535
24,0.5199547150373409,0.48085302449101247,0.04379835365081586
25,0.5199547150373409,0.48698665510463796,0.04160843596827506
26,0.5205793707567804,0.46691648564488747,0.039528014169861306
27,0.5205793707567804,0.48993441508828,0.03755161346136824
28,0.5205793707567804,0.48824674566400367,0.03567403278829983
29,0.5210906542641072,0.48300228328740796,0.03389033114888484
30,0.521726863320433,0.47630000148800294,0.032195814591440594
31,0.5222626538208504,0.4911764604291386,0.030586023861868563
32,0.5226603962545123,0.49590239864765845,0.029056722668775133
33,0.5228711767181603,0.500625386368158,0.027603886535336374
34,0.522931967205664,0.5048853101136899,0.026223692208569554
35,0.5229673758203498,0.502693255187736,0.024912507598141075
36,0.5229673758203498,0.5143427244577773,0.02366688221823402
37,0.5234003930080106,0.5065253696652092,0.02248353810732232
38,0.5234003930080106,0.5106668398699492,0.021359361201956202
39,0.5234460926354655,0.5086393553874492,0.02029139314185839
40,0.5234460926354655,0.5148648674630647,0.01927682348476547
41,0.5234794331141344,0.5127190345076977,0.018312982310527196
42,0.523949986798768,0.5160191594281248,0.017397333195000836
43,0.523949986798768,0.5124735769477027,0.016527466535250793
44,0.523949986798768,0.5173235327966911,0.015701093208488254
45,0.523949986798768,0.5198505631102802,0.01491603854806384
46,0.5239927584176295,0.5191557446881063,0.014170236620660647
47,0.5239927584176295,0.51960191358888,0.013461724789627615
48,0.5239927584176295,0.5204207278298996,0.012788638550146234
49,0.5239927584176295,0.5193018715836384,0.012149206622638922
50,0.5239927584176295,0.5224918554324255,0.011541746291506975
51,0.5239927584176295,0.5189636341730415,0.010964658976931626
52,0.5239927584176295,0.5145396647891084,0.010416426028085044
53,0.5239927584176295,0.5218747707510839,0.01
54,0.5239927584176295,0.5218131703174866,0.01
55,0.5239927584176295,0.5190368619406242,0.01
56,0.5239927584176295,0.5210668946691511,0.01
57,0.5239927584176295,0.5210057857190609,0.01
58,0.5239927584176295,0.5199488193218933,0.01
59,0.5239927584176295,0.5199480602118743,0.01
60,0.5239927584176295,0.5215426140846404,0.01
61,0.5239927584176295,0.5217661577603991,0.01
62,0.5239927584176295,0.5201550159954055,0.01
63,0.5239927584176295,0.5201936870582604,0.01
64,0.5239927584176295,0.5224401936231694,0.01
65,0.5239927584176295,0.522323129294564,0.01
66,0.5243396880902063,0.5189696499369919,0.01
67,0.5243396880902063,0.5189024634952358,0.01
68,0.5243396880902063,0.5216103946030369,0.01
69,0.52499026095892,0.5151066257743032,0.01
70,0.5250861446515193,0.5210504334831821,0.01
71,0.5255522608966887,0.5198837511682904,0.01
72,0.5258572733266248,0.515193642968664,0.01
73,0.5258572733266248,0.5186719160170891,0.01
74,0.5259543995616934,0.5115132918778946,0.01
75,0.5259543995616934,0.49784273317378575,0.01
76,0.5259543995616934,0.4971288040354393,0.01
77,0.526812795495553,0.5000862703040965,0.01
78,0.526812795495553,0.4913015117283269,0.01
79,0.526812795495553,0.4969089823571675,0.01
80,0.526812795495553,0.5044539183065055,0.01
81,0.5268532816813516,0.5185045086425913,0.01
82,0.5268532816813516,0.5188011582464883,0.01
83,0.5268532816813516,0.5238117587851024,0.01
84,0.5268532816813516,0.5060621772290214,0.01
85,0.5268532816813516,0.5068642880579771,0.01
86,0.5268532816813516,0.5123492940405283,0.01
87,0.5268532816813516,0.5158553720429182,0.01
88,0.5268532816813516,0.5207935069133781,0.01
89,0.5268532816813516,0.5182838904669261,0.01
90,0.5268532816813516,0.5167666133526315,0.01
91,0.5268532816813516,0.5184179861401262,0.01
92,0.5268532816813516,0.5240836788867181,0.01
93,0.5268532816813516,0.5128364596542696,0.01
94,0.5268870483714253,0.5239131938841168,0.01
95,0.5268870483714253,0.5180659426527576,0.01
96,0.5268870483714253,0.521891235610195,0.01
97,0.5268870483714253,0.5177702650736429,0.01
98,0.5268870483714253,0.5162648585569815,0.01
99,0.5268870483714253,0.5195904134972777,0.01
100,0.5268870483714253,0.5208556182946796,0.01
101,0.5268870483714253,0.519769979249199,0.01
102,0.5268870483714253,0.5173626860366501,0.01
103,0.5268870483714253,0.5223029794136971,0.01
104,0.5268870483714253,0.5249717733278826,0.01
105,0.5268870483714253,0.5238998184215012,0.01
106,0.5268870483714253,0.5225038323927256,0.01
107,0.5268870483714253,0.521165535448864,0.01
108,0.5268870483714253,0.5210032434729687,0.01
109,0.5268870483714253,0.5174534157623659,0.01
110,0.5268870483714253,0.5188768636811059,0.01
111,0.5268870483714253,0.5166039481730612,0.01
112,0.5268870483714253,0.5202673810165213,0.01
113,0.5268870483714253,0.5241853592018582,0.01
114,0.5268870483714253,0.5177724808562821,0.01
115,0.5268870483714253,0.5231322516759085,0.01
116,0.5268870483714253,0.5226902516169266,0.01
117,0.5268870483714253,0.5220852373652939,0.01
118,0.5268870483714253,0.520422885745155,0.01
119,0.5268870483714253,0.5190925258176022,0.015
120,0.5268870483714253,0.5142332679159115,0.014249999999999999
121,0.5268870483714253,0.5160478689562903,0.013537499999999997
122,0.5268870483714253,0.5148133455334187,0.012860624999999997
123,0.5268870483714253,0.5211363845027341,0.012217593749999997
124,0.5268870483714253,0.5150066788705546,0.011606714062499997
125,0.5268870483714253,0.519162363093306,0.011026378359374997
126,0.5268870483714253,0.518636997281208,0.010475059441406247
127,0.5268870483714253,0.5192963024019853,0.01
128,0.5268870483714253,0.523713110287926,0.01
129,0.5268870483714253,0.519952845434488,0.01
130,0.5268870483714253,0.5218884256449143,0.01
131,0.5268870483714253,0.5207509589927526,0.01
132,0.5268870483714253,0.5203575828037178,0.01
133,0.5268870483714253,0.5190745124898001,0.01
134,0.5268870483714253,0.5200819552156791,0.01
135,0.5268870483714253,0.5158392726822497,0.01
136,0.5268870483714253,0.5205308442863983,0.01
137,0.5268870483714253,0.5192467449805863,0.01
138,0.5268870483714253,0.5244808029378643,0.01
139,0.5268870483714253,0.5218024559135201,0.01
140,0.5268870483714253,0.5239772827996031,0.01
141,0.5270250801806251,0.5232129108479926,0.01
142,0.5270250801806251,0.5153874629746368,0.01
143,0.5270250801806251,0.5241233285333853,0.01
144,0.5270250801806251,0.523991441061066,0.01
145,0.5270250801806251,0.5179214901704656,0.01
146,0.5270250801806251,0.5223957064396375,0.01
147,0.5270250801806251,0.5214795548921328,0.01
148,0.5270250801806251,0.5175957941510183,0.01
149,0.5270250801806251,0.5181281391684422,0.01
150,0.5270250801806251,0.521879051174876,0.01
151,0.5270250801806251,0.5189904348001282,0.01
152,0.5270250801806251,0.5195384029205506,0.01
153,0.5270250801806251,0.5184399528910658,0.01
154,0.5270250801806251,0.5174410135605249,0.01
155,0.5270250801806251,0.5224688400891645,0.01
156,0.5270250801806251,0.5209095448039578,0.01
157,0.5270250801806251,0.5171889029968136,0.01
158,0.5270250801806251,0.5201357172970542,0.01
159,0.5270250801806251,0.5217771748162843,0.01
160,0.5270250801806251,0.5218390169441831,0.01
161,0.5270250801806251,0.5232814285531451,0.01
162,0.5270250801806251,0.5254181349691911,0.01
163,0.5270250801806251,0.5191523271110947,0.01
164,0.5270250801806251,0.5251162915137633,0.01
165,0.5270250801806251,0.5217064646004246,0.01
166,0.5270250801806251,0.5188248931217502,0.015
167,0.5270250801806251,0.5209448855309579,0.014249999999999999
168,0.5270250801806251,0.5163669736019587,0.013537499999999997
169,0.5270250801806251,0.5233111820991021,0.012860624999999997
170,0.5270250801806251,0.5154974262331924,0.012217593749999997
171,0.5270250801806251,0.5242643961631229,0.011606714062499997
172,0.5270250801806251,0.522528545948694,0.011026378359374997
173,0.5270250801806251,0.5170866981730509,0.010475059441406247
174,0.5270250801806251,0.5185170538847615,0.01
175,0.5270250801806251,0.5197332989003418,0.01
176,0.5270250801806251,0.5182245370815272,0.01
177,0.5270250801806251,0.5154836511977858,0.01
178,0.5270250801806251,0.5151083677518752,0.01
179,0.5270250801806251,0.519226821363342,0.01
180,0.5270250801806251,0.5210293812137866,0.01
181,0.5270250801806251,0.5237824664760088,0.01
182,0.5270250801806251,0.5227661662938892,0.01
183,0.5271365535556581,0.5182205804177907,0.01
184,0.5271365535556581,0.5141482312329786,0.01
185,0.5271365535556581,0.5175751815463936,0.01
186,0.5271365535556581,0.517591046727686,0.01
187,0.5271365535556581,0.5141531199672466,0.01
188,0.5271365535556581,0.5177712674881342,0.01
189,0.5271365535556581,0.5211216058625894,0.01
190,0.5271365535556581,0.5213882178685728,0.01
191,0.5271365535556581,0.5188166473281819,0.01
192,0.5271365535556581,0.5209386731875565,0.01
193,0.5271365535556581,0.5192392350899511,0.01
194,0.5271365535556581,0.5185136693605128,0.01
195,0.5271365535556581,0.5188077316948128,0.01
196,0.5271365535556581,0.5218515270169525,0.01
197,0.5271365535556581,0.5223190974710711,0.01
198,0.5271365535556581,0.5169455019174378,0.01
199,0.5271365535556581,0.5200906364659704,0.01
200,0.5271365535556581,0.522095358733284,0.01
201,0.5271365535556581,0.5241450527524326,0.01
202,0.5271365535556581,0.5203301315328615,0.01
203,0.5271365535556581,0.5217761644757214,0.01
204,0.5271365535556581,0.5208988818633693,0.01
205,0.5271365535556581,0.5123385850336775,0.01
206,0.5271365535556581,0.5186794747417997,0.01
207,0.5271365535556581,0.5163794297976614,0.01
208,0.5271365535556581,0.5158895167981893,0.015
209,0.5271365535556581,0.5169094971885143,0.014249999999999999
210,0.5271365535556581,0.5182129635356487,0.013537499999999997
211,0.5271365535556581,0.5126508065294498,0.012860624999999997
212,0.5271365535556581,0.5192654495728941,0.012217593749999997
213,0.5271365535556581,0.5227971286821729,0.011606714062499997
214,0.5271365535556581,0.5219895447613563,0.011026378359374997
215,0.5271365535556581,0.5217874639049022,0.010475059441406247
216,0.5271365535556581,0.5224410180562451,0.01
217,0.5271365535556581,0.5201497741256967,0.01
218,0.5271365535556581,0.5237971112481861,0.01
219,0.5271365535556581,0.5227962861220554,0.01
220,0.5271365535556581,0.5172388447759101,0.01
221,0.5271365535556581,0.5231405816209296,0.01
222,0.5271365535556581,0.5149981986262187,0.01
223,0.5271365535556581,0.519718738116238,0.01
224,0.5271365535556581,0.5217877004443111,0.01
225,0.5271365535556581,0.5201942973044476,0.01
226,0.5271365535556581,0.5244567854439305,0.01
227,0.5271365535556581,0.5180081438038487,0.01
228,0.5271365535556581,0.517834599537812,0.01
229,0.5271365535556581,0.5204858853439854,0.01
230,0.5271365535556581,0.5261610294051504,0.01
231,0.5271365535556581,0.5222670029526771,0.01
232,0.5271365535556581,0.5224427329208237,0.01
233,0.5271365535556581,0.5214270152293019,0.015
234,0.5271365535556581,0.5158482083770305,0.014249999999999999
235,0.5271365535556581,0.5185799986161389,0.013537499999999997
236,0.5271365535556581,0.5176015558841635,0.012860624999999997
237,0.5271365535556581,0.5204283659709006,0.012217593749999997
238,0.5271365535556581,0.5192459725071784,0.011606714062499997
239,0.5271365535556581,0.5213007004010941,0.011026378359374997
240,0.5271365535556581,0.5181144314734678,0.010475059441406247
241,0.5271365535556581,0.5229733535061917,0.01
242,0.5271365535556581,0.5214093554230893,0.01
