gene_type,feature,value
weight,Close,0.4468504770690135
weight,Volume,0.7885039326529679
weight,SMA_20,0.0
weight,SMA_50,1.0
weight,SMA_200,0.8075907002746961
weight,RSI,0.7146329193592156
weight,MACD,0.3231415602418601
weight,Signal,0.9362449448727741
weight,BB_Upper,0.943134632478611
weight,BB_Lower,0.731634572106556
weight,Daily_Return,0.8679088787401872
weight,Volume_Change,0.6563772236003154
threshold,Close,0.8467587017234327
threshold,Volume,0.28608105603639583
threshold,SMA_20,0.14671356276775044
threshold,SMA_50,0.7546608881934626
threshold,SMA_200,0.18511081335553325
threshold,RSI,0.03788451898743571
threshold,MACD,0.4024972071058851
threshold,Signal,0.350241272073335
threshold,BB_Upper,0.0
threshold,BB_Lower,0.6052004206276245
threshold,Daily_Return,0.7563108228259254
threshold,Volume_Change,0.3148159245548629
leverage,lev_0,0.0
leverage,lev_1,0.0530387495693084
leverage,lev_2,0.08427383380301368
leverage,lev_3,0.43373717726825567
risk,risk_0,0.0
risk,risk_1,0.13090994448338056
risk,risk_2,0.834873465886501
risk,risk_3,0.29228104494101026
