gene_type,feature,value
weight,Close,0.0
weight,Volume,0.7012279626704567
weight,SMA_20,0.049923407841521
weight,SMA_50,0.0
weight,SMA_200,1.0
weight,RSI,0.021706737475563016
weight,MACD,0.8921183888458729
weight,Signal,0.2435724786656402
weight,BB_Upper,0.15839756499107627
weight,BB_Lower,0.21988686755144826
weight,Daily_Return,0.012422579701146297
weight,Volume_Change,0.2444362484247185
weight,ATR,0.7023999664255366
weight,OBV,0.7107191290120057
weight,VWAP,0.3840696753671072
weight,Williams_R,0.665976760524201
weight,Stoch_K,0.08012554656104988
threshold,Close,0.7023999664255366
threshold,Volume,0.7107191290120057
threshold,SMA_20,0.3840696753671072
threshold,SMA_50,0.665976760524201
threshold,SMA_200,0.08012554656104988
threshold,RSI,0.4265022945722752
threshold,MACD,0.20738688740438668
threshold,Signal,0.4270356158769953
threshold,BB_Upper,0.4960221858469691
threshold,BB_Lower,0.0
threshold,Daily_Return,0.5093943705951285
threshold,Volume_Change,0.07257434713156227
threshold,ATR,0.523622515629243
threshold,OBV,0.05544857285381141
threshold,VWAP,0.5034566899384868
threshold,Williams_R,0.6
threshold,Stoch_K,0.2076026897893124
leverage,lev_0,0.523622515629243
leverage,lev_1,0.05544857285381141
leverage,lev_2,0.5034566899384868
leverage,lev_3,0.6
risk,risk_0,0.2076026897893124
risk,risk_1,0.3843224362323941
risk,risk_2,0.5183699988724741
risk,risk_3,0.2218636706774997
