gene_type,feature,value
weight,Close,0.6788171896762081
weight,Volume,1.0
weight,SMA_20,0.12998482498286446
weight,SMA_50,0.061298225107502005
weight,SMA_200,0.20806281774767096
weight,RSI,0.14038341948767344
weight,MACD,0.19404413687125172
weight,Signal,0.2415889529305989
weight,BB_Upper,1.0
weight,BB_Lower,1.0
weight,Daily_Return,0.6629836831874942
weight,Volume_Change,0.9498398194795252
weight,ATR,0.07847922519303788
weight,OBV,0.3275377593601558
weight,VWAP,0.0
weight,Williams_R,0.10170734652555147
weight,Stoch_K,0.08380880111652986
threshold,Close,0.07847922519303788
threshold,Volume,0.3275377593601558
threshold,SMA_20,0.0
threshold,SMA_50,0.10170734652555147
threshold,SMA_200,0.08380880111652986
threshold,RSI,0.0702793930067912
threshold,MACD,0.1524283982351966
threshold,Signal,0.590590847270503
threshold,BB_Upper,0.05237258128419943
threshold,BB_Lower,0.6
threshold,Daily_Return,0.0
threshold,Volume_Change,0.6
threshold,ATR,0.36036130739806066
threshold,OBV,0.5857635478889661
threshold,VWAP,0.3676645331911774
threshold,Williams_R,0.1371567895599537
threshold,Stoch_K,0.32506864014985243
leverage,lev_0,0.36036130739806066
leverage,lev_1,0.5857635478889661
leverage,lev_2,0.3676645331911774
leverage,lev_3,0.1371567895599537
risk,risk_0,0.32506864014985243
risk,risk_1,0.4931773247672962
risk,risk_2,0.0
risk,risk_3,0.2316840792565979
