gene_type,feature,value
weight,Close,0.10017435429291388
weight,Volume,0.6710759809933471
weight,SMA_20,0.021306509516252
weight,SMA_50,0.10034785812604033
weight,SMA_200,0.20625858596316857
weight,RSI,0.6371493482757742
weight,MACD,0.810822877335131
weight,Signal,0.21670467273933605
weight,BB_Upper,0.32547136310353325
weight,BB_Lower,1.0
weight,Daily_Return,1.0
weight,Volume_Change,0.7908703707245205
weight,ATR,0.5044143974996186
weight,OBV,0.0842094366440896
weight,VWAP,0.0
weight,Williams_R,0.0219113424564276
weight,Stoch_K,0.12258778160006878
threshold,Close,0.5044143974996186
threshold,Volume,0.0842094366440896
threshold,SMA_20,0.0
threshold,SMA_50,0.0219113424564276
threshold,SMA_200,0.12258778160006878
threshold,RSI,0.3837218428408744
threshold,MACD,0.5443687090549766
threshold,Signal,0.6
threshold,BB_Upper,0.5136715936866533
threshold,BB_Lower,0.5929204874653917
threshold,Daily_Return,0.5679383887309698
threshold,Volume_Change,0.0
threshold,ATR,0.576951910063063
threshold,OBV,0.5742216941156779
threshold,VWAP,0.0
threshold,Williams_R,0.6
threshold,Stoch_K,0.15492671819494158
leverage,lev_0,0.576951910063063
leverage,lev_1,0.5742216941156779
leverage,lev_2,0.0
leverage,lev_3,0.6
risk,risk_0,0.15492671819494158
risk,risk_1,0.4957931152803674
risk,risk_2,0.49746957391660873
risk,risk_3,0.3962114945961761
