feature,weight,threshold
Close,0.5063414965759665,0.2711225701233252
Volume,0.46434713675900247,0.3345412817810283
SMA_20,0.9994920464383354,0.09112442451252674
SMA_50,0.8019013180267593,0.3752526037500289
SMA_200,0.6596749759235496,0.590305094419305
RSI,0.9536483395150154,0.0
MACD,0.24835030685071874,0.0
Signal,0.59751584163874,0.6
BB_Upper,1.0,0.5869313012622452
BB_Lower,0.0,0.1055631906458685
Daily_Return,1.0,0.3535745859456358
Volume_Change,0.7704135565735217,0.4223936774006136
ATR,0.24526310470881774,0.04115082243592215
OBV,0.9280602503472446,0.6
VWAP,0.008292592480249009,0.11929636172574015
Williams_R,0.13809777706945753,0.3210599964342912
Stoch_K,0.0,0.0
