feature,weight,threshold
Close,0.21550587214973466,0.10878490727538596
Volume,0.5736396320540648,0.581944840707664
SMA_20,0.06314369554226196,1.0
SMA_50,0.14232206173511516,0.11814538884897582
SMA_200,0.8589346780692146,0.4127836916920299
RSI,0.18444501926394682,0.2948994051327682
MACD,0.08289157625779603,0.41813014215016453
Signal,0.47039642672982873,0.15834008993284412
BB_Upper,0.3070825891837834,0.37850909759155704
BB_Lower,0.26065672965120806,0.1500741483664817
Daily_Return,0.19893493377850407,0.4440513921795549
Volume_Change,0.7120836206200656,0.12067378339654375
ATR,0.688504200563119,0.013737609442796991
OBV,1.0,0.2273471709944071
VWAP,0.3944815179387544,0.13210183047781718
Williams_R,0.7906658820985085,0.5645241562189814
Stoch_K,0.4258363791917021,0.07578068514781856
