feature,weight,threshold
Close,0.31601960055093037,0.9867119124481999
Volume,0.19695954262002624,0.6950054197872154
SMA_20,0.26885578324055265,0.1491450226378477
SMA_50,0.6269523404322688,0.5835451196231118
SMA_200,0.5459634694355044,0.23682119834183168
RSI,0.4176278897078849,0.8074137511255562
MACD,0.7961087340717715,0.4897777316915341
Signal,0.8046958137880791,0.7325734468754036
BB_Upper,0.16042303144046932,1.0
BB_Lower,0.3884958937229057,0.6389690962188699
Daily_Return,1.0,0.6648555322182221
Volume_Change,0.24988822802652044,0.7545702954396313
ATR,0.8764698626812797,0.8424550014526674
OBV,0.462336972594807,0.8265026047080294
VWAP,0.05871868165014971,0.0
Williams_R,0.42909887146925685,0.414621267425058
Stoch_K,0.4566178341853874,0.23368168898538896
