gene_type,feature,value
weight,Close,0.7607341262031818
weight,Volume,0.9077397774064035
weight,SMA_20,0.7215622971635693
weight,SMA_50,0.6625214058742207
weight,SMA_200,1.0
weight,RSI,0.7065074969882466
weight,MACD,0.11811292338990287
weight,Signal,0.38696896526795704
weight,BB_Upper,0.1366856624402348
weight,BB_Lower,0.8332667633304365
weight,Daily_Return,0.599836303946176
weight,Volume_Change,0.9294062788905203
weight,ATR,0.46250801639678607
weight,OBV,0.7572637909503188
weight,VWAP,0.6852207518709604
weight,Williams_R,0.41661680941976753
weight,Stoch_K,0.7300859824958577
threshold,Close,0.46250801639678607
threshold,Volume,0.7572637909503188
threshold,SMA_20,0.6852207518709604
threshold,SMA_50,0.41661680941976753
threshold,SMA_200,0.7300859824958577
threshold,RSI,0.300279883525135
threshold,MACD,0.4544989115662624
threshold,Signal,0.6
threshold,BB_Upper,0.3206152767374035
threshold,BB_Lower,0.00913307229496172
threshold,Daily_Return,0.051961839867190496
threshold,Volume_Change,0.4110342195292673
threshold,ATR,0.22861337880964544
threshold,OBV,0.10249803522056455
threshold,VWAP,0.4595576042651746
threshold,Williams_R,0.0
threshold,Stoch_K,0.5395150391380718
leverage,lev_0,0.22861337880964544
leverage,lev_1,0.10249803522056455
leverage,lev_2,0.4595576042651746
leverage,lev_3,0.0
risk,risk_0,0.5395150391380718
risk,risk_1,0.3492046669427957
risk,risk_2,0.6
risk,risk_3,0.0
