feature,weight,threshold
Close,0.5563961565014337,0.6
Volume,0.6136423033178101,0.5544682458954686
SMA_20,0.8562506919431703,0.15454310588376238
SMA_50,0.5424853181469005,0.40728768346751365
SMA_200,0.48571750866459795,0.6
RSI,0.6141305400103607,0.0
MACD,0.2501710528050296,0.09119264926654587
Signal,0.4636257549000118,0.325861558572922
BB_Upper,0.6563748150247822,0.4492574136207315
BB_Lower,0.12303616178084754,0.4993647340995791
Daily_Return,0.09808524356588241,0.19414568413588934
Volume_Change,0.8678638578062089,0.6
ATR,0.17375468770536315,0.4918450181240962
OBV,0.22496120756971602,0.23218720064951448
VWAP,0.0,0.4016781435483692
Williams_R,0.03133925840416715,0.06820787177407431
Stoch_K,0.2441079878906088,0.0
