feature,weight,threshold
Close,0.2282967084571056,0.40954153317949094
Volume,0.20197903768878156,0.35824903239456063
SMA_20,0.0,0.7991074484399395
SMA_50,0.303582651594387,0.6613305419571232
SMA_200,0.09463976824938869,1.0
RSI,0.16606263241397312,0.07728417067794555
MACD,0.235256388415645,0.548222048738594
Signal,0.9803690416635668,0.7110693539776523
BB_Upper,1.0,0.7011749653044068
BB_Lower,0.5210702729015927,0.8544193573723082
Daily_Return,0.28454087511182524,0.3737669898986531
Volume_Change,1.0,0.3912941269183348
ATR,0.8987447970380835,0.5525306929157586
OBV,0.45392279271806224,0.8024331578677163
VWAP,0.7021111159299789,0.46375405059159314
Williams_R,0.43908002672389285,0.37762773296740115
Stoch_K,0.2406916712284302,0.9605103984624873
