feature,weight,threshold
Close,0.16059477673748923,0.0
Volume,0.32501377982364776,0.18127531427328258
SMA_20,0.4808826654182219,0.7456036297618552
SMA_50,0.8662587643695654,0.48873437843901324
SMA_200,1.0,0.10112905556738849
RSI,0.3457207062555691,0.45714618777993177
MACD,0.3083660999770146,0.49592687656024126
Signal,0.3295590043529399,0.7897778158479739
BB_Upper,0.13164978020017382,0.4389227370120621
BB_Lower,0.3451046870562403,0.6998893297010883
Daily_Return,0.2667370166449311,1.0
Volume_Change,0.24871685973069205,0.7481059913063013
ATR,0.6724369606744175,0.5309057850762322
OBV,0.30320187369481977,0.1531954551413279
VWAP,0.7797479847169789,0.7990185158309883
Williams_R,0.0,0.2172749258702722
Stoch_K,0.16386810851455724,0.03900755072960699
