feature,weight,threshold
Close,0.16259713214185062,0.3492174270902631
Volume,1.0,0.5359723383958213
SMA_20,0.5644245084900661,0.41449216461764127
SMA_50,0.527765967775972,0.4897372470268275
SMA_200,0.12649389948753934,0.06665878613282697
RSI,0.15056240462517076,0.4009709226222919
MACD,0.5706476275828818,0.0
Signal,0.5885539926974725,0.26040913897544493
BB_Upper,0.2288604404853135,0.5244679266674166
BB_Lower,0.6524396620278802,0.4176949921533643
Daily_Return,0.14137083814741125,0.569305912678984
Volume_Change,0.5146096612008707,0.33536098063187575
ATR,0.4487412137802156,0.4655010812881901
OBV,0.2466106618840819,0.26733271445757245
VWAP,0.0,0.1479750831076796
Williams_R,0.4246200245279568,0.0
Stoch_K,0.30115986755690033,0.507078493784172
