feature,weight,threshold
Close,0.6211860628341056,0.7456978170954554
Volume,0.7877473198948944,0.5541107804123612
SMA_20,0.1415588308893756,0.5512276103690308
SMA_50,0.44104187967539343,0.6578444240961271
SMA_200,0.24506435201764973,0.613688950020083
RSI,0.2578084097023544,0.6649051171630671
MACD,0.586441243943397,0.33793102457009305
Signal,0.31779097436066583,0.6129840737338652
BB_Upper,0.9438473999871505,0.6152608039911064
BB_Lower,0.6703692024118779,1.0
Daily_Return,0.1360749421392311,0.0
Volume_Change,0.7336386613392407,0.3824456609963253
ATR,0.0,0.7951159286587917
OBV,0.29693873781772273,0.0940844239116583
VWAP,0.3653561819755165,0.09105587932510026
Williams_R,0.4916465352440895,0.0
Stoch_K,0.11607868881365022,0.6601449538993482
