feature,weight,threshold
Close,0.7982075319574438,0.7922350657254618
Volume,0.27970251092354176,0.8257103065875188
SMA_20,0.027583669431921795,0.30415244791501317
SMA_50,0.22936615337710672,0.05172638224107905
SMA_200,0.04160030782559841,0.8166672592702805
RSI,0.9319676584658365,0.9486847996526038
MACD,0.6691511874687585,0.6875910285877621
Signal,0.9206081999452197,0.45260157226675013
BB_Upper,0.01827775161828709,0.05386434845903018
BB_Lower,0.8844847971171599,0.8935241043967684
Daily_Return,0.28943042157130716,0.3983549190195568
Volume_Change,0.5671983788748127,0.28466530128914586
ATR,0.7489570739312148,0.044692791588102326
OBV,0.17879900218613198,0.8814369185097625
VWAP,0.0,0.9113609848417886
Williams_R,0.47601157999299537,0.5034604556986385
Stoch_K,0.06682795768000604,0.3136950390656635
