feature,weight,threshold
Close,0.2835207665992292,0.893791299941444
Volume,0.0,0.6186055410970206
SMA_20,0.21020884813342816,0.9381370360733283
SMA_50,0.55218492855933,0.12693525679091977
SMA_200,0.3039702914590221,0.32221567382293825
RSI,0.506329931620633,0.7550289661908085
MACD,0.6942624356428865,0.44387008272299805
Signal,0.0037294760422813614,0.3883145488083296
BB_Upper,1.0,0.9989672699994974
BB_Lower,0.5201301702649874,1.0
Daily_Return,1.0,0.20178211071905539
Volume_Change,0.31487540979008233,0.4763025585194799
ATR,1.0,0.6840560941233512
OBV,0.11012191914535333,0.4443396614075947
VWAP,0.05871868165014971,0.6125686489293198
Williams_R,0.40006144613475536,0.5561902967977893
Stoch_K,0.03668319685068105,0.4510125375021827
