feature,weight,threshold
Close,0.0,0.0
Volume,0.26091182687845,0.6389791467711319
SMA_20,0.4411127846147898,0.19578501620952132
SMA_50,0.5996295285254609,0.9969608188676742
SMA_200,0.1570890018770385,0.17644135150368997
RSI,0.29381151610127504,0.49559244080353737
MACD,0.8237539981067782,0.7884881119189819
Signal,0.44829708683853864,0.8764958614645815
BB_Upper,0.2429167875074677,0.7487758270911516
BB_Lower,0.33885563560960497,0.8633414744885276
Daily_Return,0.0,0.10284529150677818
Volume_Change,0.02477563379370224,1.0
ATR,1.0,0.40142272670078954
OBV,0.3999173299207106,0.8587824123406804
VWAP,0.29988084565857814,0.051314578875611534
Williams_R,0.28621322905904023,0.6002099748815181
Stoch_K,0.5986378364827489,0.7334897083913764
