feature,weight,threshold
Close,0.2934753194786268,0.9660503979992607
Volume,0.6537407507540084,0.11445427131232587
SMA_20,0.8621549820699647,0.3604387191309145
SMA_50,0.3852526472442596,0.898309255225514
SMA_200,0.49655881704361604,0.3809403480486341
RSI,0.6024428684456723,0.6840788263438675
MACD,0.8199347673309185,0.4338504832758947
Signal,0.6295321936239908,0.43541445397822565
BB_Upper,0.8074041019416933,0.9329007824132532
BB_Lower,0.633429780271171,0.7526640962151808
Daily_Return,0.3381569564730656,0.475487601135565
Volume_Change,0.9505602051456258,0.7461891613378153
ATR,0.6388007111178826,0.022789888133768508
OBV,0.3093440081985506,0.21484470699983893
VWAP,0.5496367268680393,0.013972719418462565
Williams_R,0.6361967723730011,0.5342525829459979
Stoch_K,0.21725382054119682,0.26306952078615936
