feature,weight,threshold
Close,0.16487708507267698,0.23547402695278682
Volume,0.6395632712371101,0.31283516257314725
SMA_20,0.26500936763247074,0.5950007648091654
SMA_50,0.0,1.0
SMA_200,0.31181235464944207,0.9015959067713658
RSI,0.536782201910672,0.8614244320243573
MACD,0.20252871047078036,0.6629097142100953
Signal,0.23057228491247206,0.18842607012169937
BB_Upper,0.47677801114072915,0.32147201605841824
BB_Lower,0.09156456328711769,0.8144656939642383
Daily_Return,0.27210058173598645,1.0
Volume_Change,1.0,0.5955478623948597
ATR,0.05097343257720888,1.0
OBV,0.06553043391838242,0.3101370978790999
VWAP,0.46787662228246685,1.0
Williams_R,0.5220123013665123,0.9864205468756827
Stoch_K,0.18156904441664232,0.776216267197785
