feature,weight,threshold
Close,0.0,0.19702029638350915
Volume,0.8345632245789746,0.26623672725649594
SMA_20,1.0,0.5647939702613094
SMA_50,0.7390746290164124,0.44939716331762086
SMA_200,0.5091554537896698,0.30486251685840143
RSI,0.7877413911825748,0.5801091777310203
MACD,0.49778866829398394,0.268513647639822
Signal,0.5857713251547224,0.0010927172707190097
BB_Upper,0.035924038455567575,0.6
BB_Lower,0.048746594595698516,0.5274163157991635
Daily_Return,0.6340923602898936,0.3166126557540264
Volume_Change,1.0,0.3569625123204814
ATR,0.4695859071569868,0.4808152308898632
OBV,0.42273403427206224,0.0249065478983441
VWAP,0.38172163620322186,0.4442455987178588
Williams_R,0.5203939977660015,0.5378440090988086
Stoch_K,0.2787135235694943,0.5847545855607493
