feature,weight,threshold
Close,0.8137236675268067,0.6
Volume,0.41598472716235524,0.17633922935123877
SMA_20,0.7744534408455852,0.2533623544040294
SMA_50,0.6119143648597127,0.26351957151990635
SMA_200,0.26705874940084473,0.45488656305154185
RSI,0.9041410407193639,0.4698851816865419
MACD,0.2935000111233079,0.29628056727469887
Signal,0.8780478846939122,0.22468947454587374
BB_Upper,1.0,0.6
BB_Lower,0.0,0.16007860300447932
Daily_Return,0.6543347470172374,0.16014427869161169
Volume_Change,0.2909612969585551,0.1308310429432604
ATR,0.2258499285312527,0.6
OBV,0.49201769414049096,0.5883051465185704
VWAP,0.2022937895728426,0.21093438848871293
Williams_R,0.7370003720929398,0.5447875690005262
Stoch_K,0.8397801836946994,0.5810949901879051
