feature,weight,threshold
Close,0.5565059317090902,0.412104162478294
Volume,1.0,0.1910045967790628
SMA_20,0.026041096227637613,0.1039238000581443
SMA_50,0.40126496418611335,0.6
SMA_200,0.18776735040385228,0.6
RSI,0.9673311958039771,0.13804504818623436
MACD,0.5768609584975929,0.455330985967305
Signal,0.6927516710800936,0.43151900368735463
BB_Upper,0.17034119365851885,0.4828096449686989
BB_Lower,1.0,0.6
Daily_Return,0.4986395468763152,0.6
Volume_Change,0.329208503449762,0.3914919795306634
ATR,0.9243613371360887,0.3820870358009448
OBV,0.3509501224123602,0.4089442951448037
VWAP,0.3443767965154055,0.4516702283134056
Williams_R,0.6434833523091206,0.4457615658066953
Stoch_K,0.22836505383090328,0.5711553569507077
